You entered a buffer length of 20
-1.760158,-0.713558, Max:2.249205, Min:-1.760158
-1.760158,-0.661151, Max:2.249205, Min:-1.760158
-1.760158,-0.718250, Max:2.249205, Min:-1.760158
-1.760158,-0.780826, Max:2.249205, Min:-1.760158
-1.760158,-0.843675, Max:2.249205, Min:-1.760158
-1.760158,-0.906538, Max:2.249205, Min:-1.760158
-1.760158,-0.969401, Max:2.249205, Min:-1.760158
-1.760158,-1.031664, Max:2.249205, Min:-1.760158
-1.700138,-1.084895, Max:2.249205, Min:-1.760158
-1.508073,-1.125069, Max:2.249205, Min:-1.760158
-1.153952,-1.145684, Max:2.249205, Min:-1.760158
-0.595762,-1.146114, Max:2.249205, Min:-1.760158
0.154493,-1.123028, Max:2.249205, Min:-1.760158
1.246864,-1.074158, Max:2.249205, Min:-1.760158
1.955105,-1.077716, Max:2.249205, Min:-1.760158
2.147170,-1.123209, Max:2.249205, Min:-1.760158
2.189184,-1.181603, Max:2.249205, Min:-1.760158
2.213192,-1.242743, Max:2.249205, Min:-1.760158
2.213192,-1.305520, Max:2.249205, Min:-1.760158
2.213192,-1.368379, Max:2.249205, Min:-1.760158
2.213192,-1.430942, Max:2.249205, Min:-1.760158
2.219194,-1.632738, Max:2.249205, Min:-1.760158
2.219194,-1.443860, Max:2.249205, Min:-1.760158
2.249205,-1.232447, Max:2.249205, Min:-1.760158
2.219194,-1.022909, Max:2.249205, Min:-1.760158
2.219194,-0.811964, Max:2.249205, Min:-1.760158
2.213192,-0.601249, Max:2.249205, Min:-1.760158
2.201188,-0.398648, Max:2.249205, Min:-1.760158
1.871076,-0.224362, Max:2.249205, Min:-1.760158
1.462937,-0.055993, Max:2.249205, Min:-1.760158
1.036793,0.112079, Max:2.249205, Min:-1.760158
0.682672,0.285539, Max:2.249205, Min:-1.760158
0.370566,0.465270, Max:2.249205, Min:-1.760158
0.118480,0.649216, Max:2.249205, Min:-1.760158
-0.121601,0.835474, Max:2.249205, Min:-1.760158
-0.379689,1.019146, Max:2.249205, Min:-1.760158
-0.637777,1.202989, Max:2.249205, Min:-1.760158
-0.889863,1.387741, Max:2.249205, Min:-1.760158
-1.117940,1.575539, Max:2.249205, Min:-1.760158
-1.322009,1.766491, Max:2.249205, Min:-1.760158
-1.472060,1.962402, Max:2.249205, Min:-1.760158
-1.586099,2.155560, Max:2.249205, Min:-1.760158
-1.658124,1.966250, Max:2.249205, Min:-1.760158
-1.664126,1.760518, Max:2.249205, Min:-1.760158
-1.670128,1.553664, Max:2.249205, Min:-1.760158
-1.682132,1.345854, Max:2.249205, Min:-1.760158
-1.718144,1.136496, Max:2.249205, Min:-1.760158
-1.748154,0.927661, Max:2.249205, Min:-1.760158
-1.760158,0.720652, Max:2.249205, Min:-1.760158
-1.760158,0.514635, Max:2.249205, Min:-1.760158
-1.760158,0.308668, Max:2.249205, Min:-1.760158
-1.760158,0.102703, Max:2.249205, Min:-1.760158
-1.760158,-0.103262, Max:2.249205, Min:-1.760158
-1.760158,-0.309226, Max:2.249205, Min:-1.760158
-1.760158,-0.515191, Max:2.249205, Min:-1.760158
-1.760158,-0.721156, Max:2.249205, Min:-1.760158
-1.760158,-0.927121, Max:2.249205, Min:-1.760158
-1.760158,-1.132785, Max:2.249205, Min:-1.760158
-1.712142,-1.331233, Max:2.249205, Min:-1.760158
-1.604105,-1.526318, Max:2.249205, Min:-1.760158
-1.490067,-1.720335, Max:2.249205, Min:-1.760158
-1.388032,-1.736338, Max:2.249205, Min:-1.760158
-1.261989,-1.710729, Max:2.249205, Min:-1.760158
-1.225977,-1.682139, Max:2.249205, Min:-1.760158
-1.165956,-1.653701, Max:2.249205, Min:-1.760158
-1.129944,-1.627370, Max:2.249205, Min:-1.760158
-1.099934,-1.600545, Max:2.249205, Min:-1.760158
-1.051918,-1.571894, Max:2.249205, Min:-1.760158
-0.967889,-1.537451, Max:2.249205, Min:-1.760158
-0.787828,-1.492514, Max:2.249205, Min:-1.760158
-0.463718,-1.432947, Max:2.249205, Min:-1.760158
-0.013565,-1.360345, Max:2.249205, Min:-1.760158
0.544625,-1.277488, Max:2.249205, Min:-1.760158
1.186844,-1.183915, Max:2.249205, Min:-1.760158
1.865074,-1.099109, Max:2.249205, Min:-1.760158
2.123162,-1.053455, Max:2.249205, Min:-1.760158
2.177180,-1.024763, Max:2.249205, Min:-1.760158
2.207190,-0.999321, Max:2.249205, Min:-1.760158
2.213192,-0.975841, Max:2.249205, Min:-1.760158
2.213192,-0.952759, Max:2.249205, Min:-1.760158
2.213192,-0.929398, Max:2.249205, Min:-1.760158
2.213192,-1.100488, Max:2.249205, Min:-1.760158
2.213192,-0.937084, Max:2.249205, Min:-1.760158
2.213192,-0.756956, Max:2.249205, Min:-1.760158
2.213192,-0.575991, Max:2.249205, Min:-1.760158
2.213192,-0.394984, Max:2.249205, Min:-1.760158
2.213192,-0.213675, Max:2.249205, Min:-1.760158
2.219194,-0.032651, Max:2.249205, Min:-1.760158
2.219194,0.148358, Max:2.249205, Min:-1.760158
2.213192,0.327567, Max:2.249205, Min:-1.760158
2.063141,0.486878, Max:2.249205, Min:-1.760158
1.739031,0.634691, Max:2.249205, Min:-1.760158
1.426925,0.783730, Max:2.249205, Min:-1.760158
1.162835,0.937632, Max:2.249205, Min:-1.760158
0.928756,1.095078, Max:2.249205, Min:-1.760158
0.742692,1.256902, Max:2.249205, Min:-1.760158
0.574635,1.420447, Max:2.249205, Min:-1.760158
0.424584,1.586177, Max:2.249205, Min:-1.760158
0.274533,1.751117, Max:2.249205, Min:-1.760158
0.136486,1.917218, Max:2.249205, Min:-1.760158
-0.019567,2.082176, Max:2.249205, Min:-1.760158
-0.163616,2.198461, Max:2.249205, Min:-1.760158
